country_code,country,Gold Medal,Silver Medal,Bronze Medal,total_medals,weighted_score,medals_per_capita,,female,male,population,,GDP (in millions),ranking,GDP_per_capita,ranking,region
KGZ,Kyrgyzstan,0,2,4,6,8,0.9721163021,,3150783,3021318,6172101,,45461,131,6400,165,Central Asia
LTU,Lithuania,0,2,2,4,6,1.521962296,,1413192,1214994,2628186,,132712,91,46200,53,Europe
MAS,Malaysia,0,0,2,2,2,0.05786231719,,16898598,17666212,34564810,,1152000,29,33600,73,East and Southeast Asia
MEX,Mexico,0,3,2,5,8,0.0382438641,,66840789,63899138,130739927,,2873000,13,22400,94,North America
MGL,Mongolia,0,1,0,1,2,0.3047223431,,1686080,1595596,3281676,,56264,121,16300,114,East and Southeast Asia
MAR,Morocco,1,0,1,2,4,0.05349369316,,18723322,18664263,37387585,,337480,57,8800,151,Africa
NED,Netherlands,15,7,12,34,71,1.913081074,,8928278,8844100,17772378,,1240000,27,69300,18,Europe
NZL,New Zealand,10,7,3,20,47,3.875059555,,2576604,2584607,5161211,,254770,68,48800,44,Australia and Oceania
NOR,Norway,4,1,3,8,17,1.451975985,,2728761,2780972,5509733,,499528,49,90500,8,Europe
PAK,Pakistan,1,0,0,1,3,0.003962537049,,123975774,128387797,252363571,,1347000,25,5600,172,South Asia
PAN,Panama,0,1,0,1,2,0.2237015857,,2218984,2251257,4470241,,159867,80,35800,67,Central America and the Caribbean
PER,Peru,0,0,1,1,1,0.03067461233,,16647693,15952556,32600249,,517644,48,15100,124,South America
PHI,Philippines,2,0,2,4,8,0.0338188986,,59049971,59227092,118277063,,1138000,31,9700,148,East and Southeast Asia
POL,Poland,1,4,5,10,16,0.2580890929,,20304895,18441415,38746310,,1616000,19,44100,54,Europe
POR,Portugal,1,2,1,4,8,0.3918811244,,5371414,4835763,10207177,,439008,52,41700,58,Europe
PUR,Puerto Rico,0,0,2,2,2,0.6623722863,,1600697,1418753,3019450,,137828,86,43000,55,Central America and the Caribbean
QAT,Qatar,0,0,1,1,1,1.69218195,,2552088,1961135,590953,,304973,61,113200,5,Middle East
MDA,Republic of Moldova,0,1,3,4,5,0.9941543723,,2114737,1908783,4023520,,38969,139,15700,121,Europe
ROU,Romania,3,4,2,9,19,0.4959181801,,9400360,8747795,18148155,,772107,34,40500,61,Europe
LCA,Saint Lucia,1,1,0,2,5,11.90206977,,86521,81517,168038,,4083,191,22700,92,Central America and the Caribbean
SRB,Serbia,3,1,1,5,12,0.2652869059,,9564205,9283314,18847519,,162213,79,24500,88,Europe
SGP,Singapore,0,0,1,1,1,0.1658798708,,3014829,3013630,6028459,,754758,35,127500,2,East and Southeast Asia
SVK,Slovakia,0,0,1,1,1,0.1797381539,,2878902,2684747,5563649,,213053,76,39300,64,Europe
SLO,Slovenia,2,1,0,3,8,1.430006201,,1046849,1051044,2097893,,102036,97,48100,46,Europe
RSA,South Africa,1,3,2,6,11,0.09926765782,,30778259,29664388,60442647,,862981,33,14300,126,Africa
ESP,Spain,5,4,9,18,32,0.3807071733,,24211106,23069327,47280433,,2242000,15,46400,49,Europe
SWE,Sweden,4,4,3,11,23,1.038731954,,5257134,5332701,10589835,,676353,41,64200,25,Europe
SUI,Switzerland,1,2,5,8,12,0.9028760439,,4457469,4403105,8860574,,733779,37,82900,10,Europe
TJK,Tajikistan,0,0,3,3,3,0.2886263052,,5172245,5221818,10394063,,46467,130,4600,181,Central Asia
THA,Thailand,1,3,2,6,11,0.08581113216,,35855687,34065311,69920998,,1516000,21,21100,99,East and Southeast Asia
TUN,Tunisia,1,1,1,3,6,0.2489864798,,6076605,5972242,12048847,,153637,83,12300,137,Africa
TUR,Türkiye,0,3,5,8,11,0.09510276514,,41872101,42247430,84119531,,2936000,12,34400,71,Middle East
UGA,Uganda,1,1,0,2,5,0.04058191133,,25242481,24040560,49283041,,135668,89,2800,200,Africa
UKR,Ukraine,3,5,4,12,23,0.336494267,,18151677,17510149,35661826,,559981,46,16200,116,Europe
USA,United States,40,44,42,126,250,0.3684604757,,173364628,168598780,341963408,,24662000,2,73600,14,North America
UZB,Uzbekistan,8,2,3,13,31,0.3559635519,,181995780,18324813,36520593,,319174,59,8800,152,Central Asia
ZAM,Zambia,0,0,1,1,1,0.04807896643,,10391863,10407253,20799116,,76493,105,3700,188,Africa
